CLASS,SIMPLIFIED,NOTES
A-1,Rural Residential,
A-1DF,Rural Residential,
A-1P,Rural Residential,
A-1RV,Rural Residential,
A-2,Rural Residential,
A-2C,Rural Residential,
A-3,Rural Residential,
A-4,Rural Residential,
A-5,Rural Residential,
A-6,Rural Residential,
A-7,Rural Residential,
C-1,Commercial,
C-10,Commercial,
C-11,Commercial,
C-11LRS,Commercial,
C-12,Commercial,
C-14,Commercial,
C-15,Commercial,
C-1C,Commercial,
C-1CBV,Commercial,
C-1NC,Commercial,
C-1R,Commercial,
C-1V,Commercial,
C-2,Commercial,
C-2BW,Commercial,
C-2LRS,Commercial,
C-2NC,Commercial,
C-2RO,Commercial,
C-2S,Commercial,
C-3,Commercial,
C-3B,Commercial,
C-3L,Commercial,
C-3LRS,Commercial,
C-3U,Commercial,
C-4,Commercial,
C-4B,Commercial,
C-4BR,Commercial,
C-4C,Commercial,
C-4D,Commercial,
C-4RT,Commercial,
C-5,Commercial,
C-5LRS,Commercial,
C-6,Commercial,
C-6DE,Commercial,
C-7,Commercial,
C-8,Commercial,
C-9,Commercial,
CD-1RO,Comprehensive Development,
CD-2MV,Comprehensive Development,
CD-3GA,Comprehensive Development,
CD-4DR,Comprehensive Development,
CD-5AH,Comprehensive Development,
CD-6NV,Comprehensive Development,
CD-7SS,Comprehensive Development,
M-1,Industrial,
M-1DW,Industrial,
M-2,Industrial,
M-2DW,Industrial,
M-3,Industrial,
M-3BD,Industrial,
M-4,Industrial,
M-5,Industrial,
M-7,Industrial,
MFC-CH,Mixed Use,
MFI-CH,Mixed Use,
MFI-RV,Mixed Use,
P-1,Recreational,
P-10,Recreational,
P-11,Recreational,
P-12,Recreational,
P-13,Recreational,
P-1A,Recreational,
P-1R,Recreational,
P-1U,Recreational,
P-2,Recreational,
P-2WL,Recreational,
P-3,Recreational,
P-3OR,Recreational,
P-4,Recreational,
P-4H,Recreational,
P-4HR,Recreational,
P-4N,Recreational,
P-5,Recreational,
P-7,Recreational,
P-9,Recreational,
RA-1,Apartment,
RA-10,Apartment,
RA-2,Apartment,
RA-3,Apartment,
RA-4,Apartment,
RA-6,Apartment,
RA-7,Apartment,
RA-8,Apartment,
RA-9,Apartment,
RA-CA,Apartment,
RC-1,Mixed Use,
RC-3,Mixed Use,
RC-5,Mixed Use,
RD-1,Single/Duplex,
RD-1A,Single/Duplex,
RM-3,Mixed Use,
RM-3TR,Mixed Use,
RM-4,Mixed Use,
RM-5,Mixed Use,
RM-6,Mixed Use,
RM-CH1,Mixed Use,
RM-CH2,Mixed Use,
RM-RG,Mixed Use,
RM-RH,Mixed Use,
RM-SH1,Mixed Use,
RP-1,Mixed Use,
RP-2,Mixed Use,
RP-3,Mixed Use,
RS-1,Single/Duplex,
RS-10,Single/Duplex,
RS-10A,Single/Duplex,
RS-10B,Single/Duplex,
RS-10VC,Single/Duplex,
RS-11,Single/Duplex,
RS-12,Single/Duplex,
RS-12A,Single/Duplex,
RS-12B,Single/Duplex,
RS-12SR,Single/Duplex,
RS-13,Single/Duplex,
RS-13B,Single/Duplex,
RS-14,Single/Duplex,
RS-14A,Single/Duplex,
RS-15,Single/Duplex,
RS-16,Single/Duplex,
RS-18,Single/Duplex,
RS-1GH,Single/Duplex,
RS-2,Single/Duplex,
RS-2CR,Single/Duplex,
RS-4,Single/Duplex,
RS-6,Single/Duplex,
RS-6A,Single/Duplex,
RS-8,Single/Duplex,
RS-8A,Single/Duplex,
RS-CH1,Single/Duplex,
RS-CH2,Single/Duplex,
RS-CR,Single/Duplex,
RS-EL,Single/Duplex,
RS-F,Single/Duplex,
RS-MF,Single/Duplex,
RT-1,Missing Middle,
RT-2,Missing Middle,
RT-3,Missing Middle,
RT-4,Missing Middle,
RT-4A,Missing Middle,
RT-5,Missing Middle,
RT-6,Missing Middle,
RT-AH,Missing Middle,
RT-CH,Missing Middle,
RT-FC,Missing Middle,
RT-WA,Missing Middle,
NA,Mixed Use,
